Elevation (ft),Capacity (acre-feet)
4711.5,24488
4711.6,24538
4711.7,24588
4711.8,24638
4711.9,24688
4712,24738
4712.1,24788
4712.2,24839
4712.3,24889
4712.4,24940
4712.5,24990
4712.6,25041
4712.7,25092
4712.8,25143
4712.9,25194
4713,25245
4713.1,25296
4713.2,25347
4713.3,25398
4713.4,25449
4713.5,25501
4713.6,25552
4713.7,25604
4713.8,25655
4713.9,25707
4714,25759
4714.1,25811
4714.2,25863
4714.3,25915
4714.4,25967
4714.5,26019
4714.6,26072
4714.7,26124
4714.8,26176
4714.9,26229
4715,26282
4715.1,26334
4715.2,26387
4715.3,26440
4715.4,26493
4715.5,26546
4715.6,26599
4715.7,26652
4715.8,26706
4715.9,26759
4716,26812
4716.1,26866
4716.2,26919
4716.3,26973
4716.4,27027
4716.5,27081
4716.6,27135
4716.7,27189
4716.8,27243
4716.9,27297
4717,27351
4717.1,27406
4717.2,27460
4717.3,27515
4717.4,27569
4717.5,27624
4717.6,27679
4717.7,27734
4717.8,27789
4717.9,27844
4718,27899
4718.1,27954
4718.2,28009
4718.3,28065
4718.4,28120
4718.5,28176
4718.6,28231
4718.7,28287
4718.8,28343
4718.9,28399
4719,28454
4719.1,28511
4719.2,28567
4719.3,28623
4719.4,28679
4719.5,28736
4719.6,28792
4719.7,28849
4719.8,28905
4719.9,28962
4720,29019
4720.1,29076
4720.2,29133
4720.3,29190
4720.4,29247
4720.5,29304
4720.6,29361
4720.7,29419
4720.8,29476
4720.9,29534
4721,29592
4721.1,29649
4721.2,29707
4721.3,29765
4721.4,29823
4721.5,29881
4721.6,29940
4721.7,29998
4721.8,30056
4721.9,30115
4722,30173
4722.1,30232
4722.2,30291
4722.3,30349
4722.4,30408
4722.5,30467
4722.6,30526
4722.7,30586
4722.8,30645
4722.9,30704
4723,30764
4723.1,30823
4723.2,30883
4723.3,30943
4723.4,31002
4723.5,31062
4723.6,31122
4723.7,31182
4723.8,31242
4723.9,31303
4724,31363
4724.1,31423
4724.2,31484
4724.3,31545
4724.4,31605
4724.5,31666
4724.6,31727
4724.7,31788
4724.8,31849
4724.9,31910
4725,31971
4725.1,32033
4725.2,32094
4725.3,32155
4725.4,32217
4725.5,32279
4725.6,32341
4725.7,32402
4725.8,32464
4725.9,32526
4726,32589
4726.1,32651
4726.2,32713
4726.3,32776
4726.4,32838
4726.5,32901
4726.6,32963
4726.7,33026
4726.8,33089
4726.9,33152
4727,33215
4727.1,33278
4727.2,33342
4727.3,33405
4727.4,33468
4727.5,33532
4727.6,33595
4727.7,33659
4727.8,33723
4727.9,33787
4728,33851
4728.1,33915
4728.2,33979
4728.3,34043
4728.4,34108
4728.5,34172
4728.6,34237
4728.7,34301
4728.8,34366
4728.9,34431
4729,34496
4729.1,34561
4729.2,34626
4729.3,34691
4729.4,34757
4729.5,34822
4729.6,34888
4729.7,34953
4729.8,35019
4729.9,35085
4730,35151
4730.1,35217
4730.2,35283
4730.3,35349
4730.4,35415
4730.5,35481
4730.6,35548
4730.7,35614
4730.8,35681
4730.9,35748
4731,35815
4731.1,35883
4731.2,35952
4731.3,36020
4731.4,36089
4731.5,36158
4731.6,36227
4731.7,36296
4731.8,36365
4731.9,36435
4732,36504
4732.1,36573
4732.2,36643
4732.3,36713
4732.4,36782
4732.5,36852
4732.6,36922
4732.7,36992
4732.8,37062
4732.9,37132
4733,37203
4733.1,37273
4733.2,37344
4733.3,37414
4733.4,37485
4733.5,37556
4733.6,37627
4733.7,37698
4733.8,37769
4733.9,37840
4734,37911
4734.1,37983
4734.2,38054
4734.3,38126
